timestamp,event,block_id
1705311963012,start,nan
1705311968456,grasp,13
1705311970151,release,13
1705311972482,grasp,18
1705311974256,release,18
1705311976291,grasp,21
1705311978117,release,21
1705311979926,grasp,22
1705311982193,release,22
1705311983988,grasp,19
1705311985480,release,19
1705311987711,grasp,11
1705311989854,release,11
1705311991580,grasp,8
1705311993156,release,8
1705311999916,grasp,8
1705312001820,release,8
1705312002353,grasp,11
1705312005149,release,11
1705312005792,grasp,14
1705312007682,release,14
1705312011717,grasp,11
1705312013519,release,11
1705312014954,grasp,8
1705312016115,release,8
1705312018619,grasp,2
1705312020252,release,2
1705312021922,grasp,1
1705312023348,release,1
1705312025251,grasp,0
1705312026585,release,0
1705312028457,grasp,10
1705312030091,release,10
1705312030545,end,nan
