timestamp,event,block_id
1706610172595,start,nan
1706610178100,grasp,13
1706610180019,release,13
1706610182012,grasp,14
1706610183606,release,14
1706610185661,grasp,18
1706610188023,release,18
1706610190464,grasp,21
1706610192995,release,21
1706610194581,grasp,22
1706610197241,release,22
1706610199163,grasp,19
1706610201750,release,19
1706610203915,grasp,11
1706610206618,release,11
1706610208764,grasp,8
1706610210861,release,8
1706610212642,grasp,2
1706610215119,release,2
1706610216702,grasp,1
1706610219136,release,1
1706610220531,grasp,0
1706610222563,release,0
1706610224269,grasp,10
1706610227917,release,10
1706610229156,end,nan
