timestamp,event,block_id
1705587644950,start,nan
1705587649106,grasp,13
1705587650970,release,13
1705587652905,grasp,14
1705587654309,release,14
1705587656795,grasp,18
1705587658618,release,18
1705587661106,grasp,21
1705587663153,release,21
1705587665142,grasp,22
1705587667158,release,22
1705587669595,grasp,19
1705587671094,release,19
1705587673704,grasp,11
1705587676252,release,11
1705587678462,grasp,8
1705587680242,release,8
1705587682618,grasp,2
1705587684954,release,2
1705587686623,grasp,1
1705587688261,release,1
1705587689873,grasp,0
1705587691659,release,0
1705587693795,grasp,10
1705587696879,release,10
1705587698215,end,nan
