timestamp,confidence_right,confidence_left,diameter_right,diameter_left
1706696385506,0,0,nan,nan
1706696385517,0,0,nan,nan
1706696385528,0,0,nan,nan
1706696385540,0,0,nan,nan
1706696385550,0,0,nan,nan
1706696385562,0,0,nan,nan
1706696385582,0,0,nan,nan
1706696385602,0,0,nan,nan
1706696385606,0,0,nan,nan
1706696385619,0,0,nan,nan
1706696385628,0,0,nan,nan
1706696385640,0,0,nan,nan
1706696385650,0,0,nan,nan
1706696385661,0,0,nan,nan
1706696385673,0,0,nan,nan
1706696385683,0,0,nan,nan
1706696385696,0,0,nan,nan
1706696385707,0,0,nan,nan
1706696385716,0,0,nan,nan
1706696385728,0,0,nan,nan
1706696385773,0,0,nan,nan
1706696385775,0,0,nan,nan
1706696385783,0,0,nan,nan
1706696385801,0,0,nan,nan
1706696385806,0,0,nan,nan
1706696385818,0,0,nan,nan
1706696385828,0,0,nan,nan
1706696385839,0,0,nan,nan
1706696385850,0,0,nan,nan
1706696385861,0,0,nan,nan
1706696385873,0,0,nan,nan
1706696385883,0,0,nan,nan
1706696385895,0,0,nan,nan
1706696385906,0,0,nan,nan
1706696385944,0,0,nan,nan
1706696385945,0,0,nan,nan
1706696385950,0,0,nan,nan
1706696385961,0,0,nan,nan
1706696385977,0,0,nan,nan
1706696385983,0,0,nan,nan
1706696385995,0,0,nan,nan
1706696386006,0,0,nan,nan
1706696386016,0,0,nan,nan
1706696386028,0,0,nan,nan
1706696386040,0,0,nan,nan
1706696386050,0,0,nan,nan
1706696386062,0,0,nan,nan
1706696386098,0,0,nan,nan
1706696386105,0,0,nan,nan
1706696386116,0,0,nan,nan
1706696386128,0,0,nan,nan
1706696386139,0,0,nan,nan
1706696386150,0,0,nan,nan
1706696386161,0,0,nan,nan
1706696386173,0,0,nan,nan
1706696386183,0,0,nan,nan
1706696386195,0,0,nan,nan
1706696386206,0,0,nan,nan
1706696386217,0,0,nan,nan
1706696386266,0,0,nan,nan
1706696386267,0,0,nan,nan
1706696386273,0,0,nan,nan
1706696386284,0,0,nan,nan
1706696386294,0,0,nan,nan
1706696386306,0,0,nan,nan
1706696386316,0,0,nan,nan
1706696386328,0,0,nan,nan
1706696386340,0,0,nan,nan
1706696386349,0,0,nan,nan
1706696386361,0,0,nan,nan
1706696386372,0,0,nan,nan
1706696386383,0,0,nan,nan
1706696386420,0,0,nan,nan
1706696386421,0,0,nan,nan
1706696386422,0,0,nan,nan
1706696386428,0,0,nan,nan
1706696386440,0,0,nan,nan
1706696386449,0,0,nan,nan
1706696386461,0,0,nan,nan
1706696386472,0,0,nan,nan
1706696386483,0,0,nan,nan
1706696386494,0,0,nan,nan
1706696386506,0,0,nan,nan
1706696386516,0,0,nan,nan
1706696386528,0,0,nan,nan
1706696386561,0,0,nan,nan
1706696386562,0,0,nan,nan
1706696386581,0,0,nan,nan
1706696386582,0,0,nan,nan
1706696386595,0,0,nan,nan
1706696386607,0,0,nan,nan
1706696386616,0,0,nan,nan
1706696386629,0,0,nan,nan
1706696386640,0,0,nan,nan
1706696386649,0,0,nan,nan
1706696386696,0,0,nan,nan
1706696386697,0,0,nan,nan
1706696386712,0,0,nan,nan
