timestamp,event,block_id
1702369379483,start,nan
1702369385613,grasp,13
1702369388213,release,13
1702369391754,grasp,14
1702369394582,release,14
1702369398650,grasp,18
1702369940680,release,18
1702369405426,grasp,21
1702369408279,release,21
1702369411961,grasp,22
1702369415912,release,22
1702369418651,grasp,19
1702369421090,release,19
1702369424818,grasp,11
1702369430487,release,11
1702369434046,grasp,8
1702369436560,release,8
1702369440390,grasp,2
1702369443945,release,2
1702369447454,grasp,1
1702369450248,release,1
1702369453791,grasp,0
1702369456619,release,0
1702369460191,grasp,10
1702369463419,release,10
1702369465051,end,nan
