timestamp,event,block_id
1705048567962,start,nan
1705048576597,grasp,13
1705048578402,release,13
1705048581286,grasp,14
1705048582979,release,14
1705048586195,grasp,18
1705048588598,release,18
1705048591046,grasp,21
1705048593716,release,21
1705048596773,grasp,22
1705048598773,release,22
1705048601506,grasp,19
1705048602866,release,19
1705048606777,grasp,11
1705048612567,release,11
1705048614623,grasp,8
1705048616438,release,8
1705048618357,grasp,2
1705048620711,release,2
1705048622155,grasp,1
1705048623802,release,1
1705048624835,grasp,0
1705048627353,release,0
1705048628879,grasp,10
1705048632310,release,10
1705048633024,end,nan
