timestamp,event,block_id
1706707044339,start,nan
1706707048429,grasp,10
1706707050904,release,10
1706707053430,grasp,9
1706707056473,release,9
1706707060161,grasp,8
1706707063640,release,8
1706707067433,grasp,21
1706707070728,release,21
1706707074698,grasp,22
1706707077431,release,22
1706707079872,grasp,23
1706707083661,release,23
1706707086670,grasp,19
1706707087530,release,19
1706707087735,grasp,18
1706707090634,release,18
1706707093563,grasp,19
1706707096896,release,19
1706707099103,grasp,20
1706707102275,release,20
1706707103030,end,nan
