timestamp,event,block_id
1706174783716,start,nan
1706174794450,grasp,7
1706174796819,release,7
1706174799688,grasp,6
1706174801812,release,6
1706174802919,grasp,6
1706174805453,release,6
1706174808776,grasp,11
1706174811844,release,11
1706174814380,grasp,10
1706174816475,release,10
1706174818788,grasp,9
1706174821240,release,9
1706174824520,grasp,5
1706174827186,release,5
1706174830852,grasp,2
1706174832873,release,2
1706174835917,grasp,1
1706174838617,release,1
1706174841445,grasp,0
1706174843352,release,0
1706174844519,end,nan
