timestamp,event,block_id
1704792474202,start,nan
1704792481500,grasp,13
1704792483568,release,13
1704792485527,grasp,14
1704792487034,release,14
1704792489059,grasp,18
1704792491058,release,18
1704792493190,grasp,21
1704792496189,release,21
1704792498559,grasp,22
1704792500361,release,22
1704792502493,grasp,19
1704792504494,release,19
1704792506766,grasp,11
1704792509469,release,11
1704792511433,grasp,8
1704792513030,release,8
1704792515323,grasp,2
1704792517330,release,2
1704792519760,grasp,1
1704792522060,release,1
1704792524392,grasp,0
1704792527535,release,0
1704792529603,grasp,10
1704792540125,release,10
1704792544561,grasp,10
1704792547691,release,10
1704792549235,grasp,2
1704792549235,grasp,1
1704792549235,grasp,0
1704792554993,release,2
1704792554993,release,1
1704792554993,release,0
1704792558594,grasp,10
1704792561532,release,10
1704792562902,end,nan
