timestamp,event,block_id
1705578460888,start,nan
1705578465001,grasp,13
1705578467564,release,13
1705578468853,grasp,14
1705578471629,release,14
1705578473727,grasp,18
1705578476622,release,18
1705578478229,grasp,21
1705578481026,release,21
1705578482887,grasp,22
1705578485532,release,22
1705578488163,grasp,19
1705578490054,release,19
1705578492668,grasp,11
1705578495688,release,11
1705578498253,grasp,8
1705578500234,release,8
1705578502498,grasp,2
1705578505957,release,2
1705578507700,grasp,1
1705578510559,release,1
1705578511232,grasp,0
1705578514990,release,0
1705578515959,grasp,10
1705578518562,release,10
1705578520000,end,nan
