timestamp,x,y
1706517059022,nan,nan
1706517059055,nan,nan
1706517059087,0.00031656705444521973,0.9354070201516151
1706517059120,nan,nan
1706517059155,nan,nan
1706517059190,nan,nan
1706517059225,nan,nan
1706517059261,nan,nan
1706517059297,nan,nan
1706517059335,nan,nan
1706517059373,nan,nan
1706517059421,nan,nan
1706517059457,nan,nan
1706517059493,nan,nan
1706517059529,nan,nan
1706517059569,nan,nan
1706517059607,nan,nan
1706517059644,nan,nan
1706517059680,nan,nan
1706517059718,nan,nan
1706517059754,nan,nan
1706517059790,nan,nan
1706517059829,nan,nan
1706517059864,nan,nan
1706517059901,nan,nan
1706517059963,nan,nan
1706517059998,nan,nan
1706517060036,nan,nan
1706517060072,nan,nan
1706517060107,nan,nan
1706517060143,nan,nan
1706517060178,nan,nan
1706517060212,nan,nan
1706517060247,nan,nan
1706517060282,nan,nan
1706517060317,nan,nan
1706517060351,nan,nan
1706517060386,nan,nan
1706517060425,nan,nan
1706517060466,nan,nan
1706517060504,nan,nan
1706517060541,nan,nan
1706517060578,nan,nan
1706517060617,nan,nan
1706517060653,nan,nan
1706517060690,nan,nan
1706517060725,nan,nan
1706517060762,nan,nan
1706517060798,nan,nan
1706517060834,nan,nan
1706517060872,nan,nan
1706517060909,nan,nan
1706517060944,nan,nan
1706517060983,nan,nan
1706517061048,nan,nan
1706517061085,nan,nan
1706517061120,nan,nan
1706517061155,nan,nan
1706517061191,nan,nan
1706517061227,nan,nan
1706517061263,nan,nan
1706517061300,nan,nan
1706517061340,nan,nan
1706517061380,nan,nan
1706517061420,nan,nan
1706517061463,nan,nan
1706517061505,nan,nan
1706517061557,nan,nan
1706517061596,nan,nan
1706517061637,nan,nan
1706517061677,nan,nan
1706517061718,nan,nan
1706517061758,nan,nan
1706517061797,nan,nan
1706517061839,nan,nan
1706517061879,nan,nan
1706517061919,nan,nan
1706517061958,nan,nan
1706517061996,nan,nan
1706517062037,nan,nan
1706517062079,nan,nan
1706517062156,nan,nan
1706517062197,nan,nan
1706517062232,nan,nan
1706517062265,nan,nan
1706517062297,nan,nan
1706517062332,nan,nan
1706517062364,nan,nan
1706517062396,nan,nan
1706517062432,nan,nan
1706517062464,nan,nan
1706517062500,nan,nan
1706517062539,nan,nan
1706517062577,0.5383201241493225,0.8028243631124496
1706517062618,0.5205786277850469,0.8393371999263763
1706517062662,0.5251354525486629,0.8620254993438721
1706517062704,0.5643321871757507,0.9088001325726511
1706517062749,0.5563569118579229,0.9012609198689461
1706517062792,0.6133427272240322,0.8962624073028564
1706517062835,0.6242255419492723,0.8533141911029816
1706517062878,0.6993238925933838,0.816165417432785
1706517062922,0.6175706585248312,0.8873285725712778
1706517062965,0.6460058490435283,0.8859265074133873
1706517063008,0.785912564645211,0.5583000779151917
1706517063050,0.5978495180606842,0.8647261559963226
1706517063093,0.5817045072714488,0.868389904499054
1706517063132,nan,nan
1706517063167,nan,nan
1706517063201,nan,nan
1706517063230,nan,nan
1706517063257,nan,nan
1706517063284,nan,nan
1706517063313,nan,nan
1706517063345,nan,nan
