timestamp,event,block_id
1706020767801,start,nan
1706020777031,grasp,13
1706020779599,release,13
1706020782865,grasp,14
1706020784602,release,14
1706020786655,grasp,18
1706020788564,release,18
1706020791303,grasp,21
1706020795467,release,21
1706020798863,grasp,22
1706020801101,release,22
1706020804223,grasp,19
1706020805534,release,19
1706020808658,grasp,11
1706020811991,release,11
1706020814792,grasp,8
1706020816269,release,8
1706020818801,grasp,2
1706020821591,release,2
1706020823534,grasp,1
1706020825159,release,1
1706020826501,grasp,0
1706020827833,release,0
1706020830068,grasp,10
1706020833766,release,10
1706020834627,end,nan
