timestamp,event,block_id
1701786152555,start,nan
1701786166255,grasp,13
1701786170565,release,13
1701786174292,grasp,14
1701786177154,release,14
1701786182494,grasp,18
1701786187473,release,18
1701786193153,grasp,21
1701786197796,release,21
1701786203146,grasp,22
1701786209004,release,22
1701786214436,grasp,19
1701786217881,release,19
1701786222377,grasp,11
1701786228164,release,11
1701786232797,grasp,8
1701786236895,release,8
1701786240837,grasp,2
1701786246059,release,2
1701786254481,grasp,1
1701786258124,release,1
1701786262247,grasp,0
1701786265167,release,0
1701786270750,grasp,10
1701786274769,release,10
1701786278445,end,nan
