timestamp,event,block_id
1706091020568,start,nan
1706091025006,grasp,13
1706091027346,release,13
1706091030269,grasp,14
1706091031871,release,14
1706091034942,grasp,18
1706091037172,release,18
1706091039841,grasp,21
1706091042367,release,21
1706091045607,grasp,22
1706091048906,release,22
1706091052174,grasp,19
1706091053872,release,19
1706091056941,grasp,11
1706091060007,release,11
1706091062734,grasp,8
1706091064448,release,8
1706091067013,grasp,2
1706091070582,release,2
1706091073334,grasp,1
1706091075605,release,1
1706091078670,grasp,0
1706091080837,release,0
1706091083410,grasp,10
1706091086281,release,10
1706091087003,end,nan
