timestamp,slide
1706091020568,0
1706091022947,1
1706091032641,2
1706091032841,3
1706091037815,4
1706091043443,5
1706091049841,6
1706091054715,7
1706091061005,8
1706091065244,9
1706091071515,10
1706091076437,11
1706091081508,12
