timestamp,event,block_id
1701164544740,start,nan
1701164553489,grasp,13
1701164555238,release,13
1701164558506,grasp,14
1701164560552,release,14
1701164563741,grasp,18
1701164566024,release,18
1701164568603,grasp,21
1701164571762,release,21
1701164574592,grasp,22
1701164576745,release,22
1701164579566,grasp,19
1701164582001,release,19
1701164585185,grasp,11
1701164588316,release,11
1701164590702,grasp,8
1701164592549,release,8
1701164595022,grasp,2
1701164597450,release,2
1701164599412,grasp,1
1701164601168,release,1
1701164603263,grasp,0
1701164605383,release,0
1701164607598,grasp,10
1701164610933,release,10
1701164612081,end,nan
