timestamp,confidence_right,confidence_left,diameter_right,diameter_left
1706020433133,0,0,0.0,0.0
1706020433151,0,0,0.0,0.0
1706020433165,3,0,3.985232,0.0
1706020433180,0,0,0.0,0.0
1706020433198,0,0,0.0,0.0
1706020433213,0,0,0.0,0.0
1706020433234,0,0,0.0,0.0
1706020433246,3,0,4.275092,0.0
1706020433264,3,0,4.742358,0.0
1706020433279,0,0,0.0,0.0
1706020433297,3,0,4.800966,0.0
1706020433312,3,0,4.992882,0.0
1706020433327,3,0,5.139376,0.0
1706020433345,3,0,4.999181,0.0
1706020433360,0,0,0.0,0.0
1706020433377,3,0,5.089703,0.0
1706020433394,3,0,5.096017,0.0
1706020433409,0,0,0.0,0.0
1706020433426,0,0,0.0,0.0
1706020433444,3,0,4.759479,0.0
1706020433459,0,0,0.0,0.0
1706020433473,0,0,0.0,0.0
1706020433488,0,0,0.0,0.0
1706020433509,0,0,0.0,0.0
1706020433523,0,0,0.0,0.0
1706020433537,0,0,0.0,0.0
1706020433555,0,0,0.0,0.0
1706020433576,3,0,4.047181,0.0
1706020433588,0,0,0.0,0.0
1706020433603,0,0,0.0,0.0
1706020433621,3,0,3.266753,0.0
1706020433636,0,0,0.0,0.0
1706020433660,0,0,0.0,0.0
1706020433669,0,0,0.0,0.0
1706020433684,0,0,0.0,0.0
1706020433701,3,0,4.803006,0.0
1706020433716,0,0,0.0,0.0
1706020433737,3,0,4.5846,0.0
1706020433752,0,0,0.0,0.0
1706020433767,0,0,0.0,0.0
1706020433784,3,0,4.71,0.0
1706020433799,0,0,0.0,0.0
1706020433817,3,0,4.640199,0.0
1706020433829,0,0,0.0,0.0
1706020433846,0,0,0.0,0.0
1706020433864,0,0,0.0,0.0
1706020433879,0,0,0.0,0.0
1706020433894,0,0,0.0,0.0
1706020433912,0,0,0.0,0.0
1706020433927,0,0,0.0,0.0
1706020433944,0,0,0.0,0.0
1706020433959,0,0,0.0,0.0
1706020433977,0,0,0.0,0.0
1706020433992,0,0,0.0,0.0
1706020434010,3,0,3.169361,0.0
1706020434025,0,0,0.0,0.0
1706020434043,3,0,5.636581,0.0
1706020434057,0,0,0.0,0.0
1706020434075,0,0,0.0,0.0
1706020434092,0,0,0.0,0.0
1706020434109,3,0,5.801315,0.0
1706020434123,0,0,0.0,0.0
1706020434140,0,0,0.0,0.0
1706020434155,0,0,0.0,0.0
1706020434178,3,0,5.210018,0.0
1706020434187,0,0,0.0,0.0
1706020434205,3,0,5.314069,0.0
1706020434220,0,0,0.0,0.0
1706020434235,0,0,0.0,0.0
1706020434252,0,0,0.0,0.0
1706020434267,0,0,0.0,0.0
1706020434285,0,0,0.0,0.0
1706020434300,0,0,0.0,0.0
1706020434318,0,0,0.0,0.0
1706020434333,0,0,0.0,0.0
1706020434351,0,0,0.0,0.0
1706020434366,0,0,0.0,0.0
1706020434386,0,0,0.0,0.0
1706020434398,0,0,0.0,0.0
1706020434413,0,0,0.0,0.0
1706020434430,3,0,5.74741,0.0
1706020434445,0,0,0.0,0.0
1706020434463,3,0,5.276397,0.0
1706020434480,0,0,0.0,0.0
1706020434497,3,0,5.21894,0.0
1706020434512,3,0,5.170316,0.0
1706020434527,0,0,0.0,0.0
1706020434544,0,0,0.0,0.0
1706020434561,0,0,0.0,0.0
1706020434576,0,0,0.0,0.0
1706020434594,3,0,5.240912,0.0
1706020434609,0,0,0.0,0.0
1706020434627,3,0,5.239722,0.0
1706020434642,0,0,0.0,0.0
1706020434657,0,0,0.0,0.0
1706020434674,0,0,0.0,0.0
1706020434691,0,0,0.0,0.0
1706020434705,0,0,0.0,0.0
1706020434723,0,0,0.0,0.0
1706020434741,0,0,0.0,0.0
1706020434756,0,0,0.0,0.0
1706020434772,0,0,0.0,0.0
1706020434790,0,0,0.0,0.0
1706020434805,0,0,0.0,0.0
1706020434822,0,0,0.0,0.0
1706020434837,0,0,0.0,0.0
1706020434854,3,0,5.236871,0.0
1706020434869,3,0,5.328118,0.0
1706020434884,3,0,5.397098,0.0
1706020434902,3,0,5.347466,0.0
1706020434920,3,0,5.409011,0.0
1706020434934,0,0,0.0,0.0
1706020434952,0,0,0.0,0.0
1706020434967,0,0,0.0,0.0
1706020434982,0,0,0.0,0.0
1706020434997,0,0,0.0,0.0
1706020435015,3,0,5.613187,0.0
1706020435030,0,0,0.0,0.0
1706020435051,3,0,5.606203,0.0
1706020435063,0,0,0.0,0.0
1706020435084,3,0,5.474291,0.0
1706020435096,0,0,0.0,0.0
1706020435113,0,0,0.0,0.0
1706020435130,3,0,5.589404,0.0
1706020435144,0,0,0.0,0.0
1706020435159,0,0,0.0,0.0
1706020435178,0,0,0.0,0.0
1706020435196,0,0,0.0,0.0
1706020435211,0,0,0.0,0.0
1706020435225,0,0,0.0,0.0
1706020435242,0,0,0.0,0.0
1706020435257,0,0,0.0,0.0
1706020435279,0,0,0.0,0.0
1706020435291,0,0,0.0,0.0
1706020435305,0,0,0.0,0.0
1706020435323,3,0,5.724058,0.0
1706020435338,0,0,0.0,0.0
1706020435356,0,0,0.0,0.0
1706020435374,0,0,0.0,0.0
1706020435388,3,0,5.99985,0.0
1706020435403,0,0,0.0,0.0
1706020435420,0,0,0.0,0.0
1706020435435,0,0,0.0,0.0
1706020435453,0,0,0.0,0.0
1706020435470,0,0,0.0,0.0
1706020435485,0,0,0.0,0.0
1706020435503,0,0,0.0,0.0
1706020435517,0,0,0.0,0.0
1706020435535,0,0,0.0,0.0
1706020435550,0,0,0.0,0.0
1706020435570,0,0,0.0,0.0
1706020435582,0,0,0.0,0.0
1706020435599,0,0,0.0,0.0
1706020435614,0,0,0.0,0.0
1706020435629,0,0,0.0,0.0
1706020435648,0,0,0.0,0.0
1706020435662,0,0,0.0,0.0
1706020435680,0,0,0.0,0.0
1706020435698,0,0,0.0,0.0
1706020435710,0,0,0.0,0.0
1706020435728,0,0,0.0,0.0
1706020435743,0,0,0.0,0.0
1706020435761,3,0,5.435667,0.0
1706020435775,0,0,0.0,0.0
1706020435793,0,0,0.0,0.0
1706020435811,0,0,0.0,0.0
1706020435826,0,0,0.0,0.0
1706020435844,3,0,6.22629,0.0
1706020435859,3,0,5.83862,0.0
1706020435876,3,0,5.819289,0.0
1706020435891,0,0,0.0,0.0
1706020435906,0,0,0.0,0.0
1706020435924,0,0,0.0,0.0
1706020435939,0,0,0.0,0.0
1706020435957,0,0,0.0,0.0
1706020435972,0,0,0.0,0.0
1706020435990,0,0,0.0,0.0
1706020436005,0,0,0.0,0.0
1706020436022,0,0,0.0,0.0
1706020436037,0,0,0.0,0.0
1706020436052,0,0,0.0,0.0
1706020436069,0,0,0.0,0.0
1706020436087,0,0,0.0,0.0
1706020436101,0,0,0.0,0.0
1706020436119,3,0,5.482775,0.0
1706020436134,0,0,0.0,0.0
1706020436152,0,0,0.0,0.0
1706020436170,0,0,0.0,0.0
1706020436187,0,0,0.0,0.0
1706020436199,0,0,0.0,0.0
1706020436215,0,0,0.0,0.0
1706020436230,0,0,0.0,0.0
1706020436248,3,0,5.579559,0.0
1706020436263,3,0,6.139154,0.0
1706020436281,3,0,6.329966,0.0
1706020436296,0,0,0.0,0.0
1706020436314,3,0,6.314169,0.0
1706020436331,0,0,0.0,0.0
1706020436344,0,0,0.0,0.0
1706020436361,0,0,0.0,0.0
1706020436376,0,0,0.0,0.0
1706020436393,0,0,0.0,0.0
1706020436411,3,0,6.37946,0.0
1706020436426,0,0,0.0,0.0
1706020436443,3,0,6.443015,0.0
1706020436458,0,0,0.0,0.0
1706020436479,0,0,0.0,0.0
1706020436491,0,0,0.0,0.0
1706020436506,0,0,0.0,0.0
1706020436521,0,0,0.0,0.0
1706020436541,0,0,0.0,0.0
1706020436556,0,0,0.0,0.0
1706020436574,0,0,0.0,0.0
1706020436589,0,0,0.0,0.0
1706020436604,0,0,0.0,0.0
1706020436622,0,0,0.0,0.0
1706020436636,0,0,0.0,0.0
1706020436654,0,0,0.0,0.0
1706020436669,3,0,4.916116,0.0
1706020436686,0,0,0.0,0.0
1706020436704,0,0,0.0,0.0
1706020436719,0,0,0.0,0.0
1706020436734,0,0,0.0,0.0
1706020436750,0,0,0.0,0.0
1706020436768,0,0,0.0,0.0
1706020436786,0,0,0.0,0.0
1706020436798,0,0,0.0,0.0
1706020436815,0,0,0.0,0.0
1706020436831,0,0,0.0,0.0
1706020436849,0,0,0.0,0.0
1706020436863,0,0,0.0,0.0
1706020436881,0,0,0.0,0.0
1706020436895,0,0,0.0,0.0
1706020436911,0,0,0.0,0.0
1706020436934,0,0,0.0,0.0
1706020436943,0,0,0.0,0.0
1706020436961,3,0,6.434234,0.0
1706020436979,0,0,0.0,0.0
1706020436993,0,0,0.0,0.0
1706020437011,0,0,0.0,0.0
1706020437026,0,0,0.0,0.0
1706020437042,0,0,0.0,0.0
1706020437057,0,0,0.0,0.0
1706020437078,0,0,0.0,0.0
1706020437092,0,0,0.0,0.0
1706020437108,0,0,0.0,0.0
1706020437123,0,0,0.0,0.0
1706020437141,0,0,0.0,0.0
1706020437156,0,0,0.0,0.0
1706020437173,0,0,0.0,0.0
1706020437188,0,0,0.0,0.0
1706020437211,0,0,0.0,0.0
1706020437220,0,0,0.0,0.0
1706020437237,0,0,0.0,0.0
1706020437252,0,0,0.0,0.0
1706020437270,0,0,0.0,0.0
1706020437288,0,0,0.0,0.0
1706020437300,0,0,0.0,0.0
1706020437318,0,0,0.0,0.0
1706020437336,0,0,0.0,0.0
1706020437353,0,0,0.0,0.0
1706020437371,0,0,0.0,0.0
1706020437383,0,0,0.0,0.0
1706020437398,0,0,0.0,0.0
1706020437415,0,0,0.0,0.0
1706020437433,0,0,0.0,0.0
1706020437448,0,0,0.0,0.0
1706020437463,0,0,0.0,0.0
1706020437481,0,0,0.0,0.0
1706020437496,0,0,0.0,0.0
1706020437515,0,0,0.0,0.0
1706020437529,0,0,0.0,0.0
1706020437544,0,0,0.0,0.0
1706020437562,0,0,0.0,0.0
1706020437577,0,0,0.0,0.0
1706020437594,0,0,0.0,0.0
1706020437611,0,0,0.0,0.0
1706020437628,0,0,0.0,0.0
1706020437645,0,0,0.0,0.0
1706020437660,0,0,0.0,0.0
1706020437677,0,0,0.0,0.0
1706020437692,0,0,0.0,0.0
1706020437707,0,0,0.0,0.0
1706020437725,0,0,0.0,0.0
1706020437742,0,0,0.0,0.0
1706020437757,0,0,0.0,0.0
1706020437774,0,0,0.0,0.0
1706020437789,0,0,0.0,0.0
1706020437804,0,0,0.0,0.0
1706020437821,0,0,0.0,0.0
1706020437838,0,0,0.0,0.0
1706020437853,0,0,0.0,0.0
1706020437871,0,0,0.0,0.0
1706020437886,0,0,0.0,0.0
1706020437904,0,0,0.0,0.0
1706020437919,0,0,0.0,0.0
1706020437936,0,0,0.0,0.0
1706020437953,0,0,0.0,0.0
1706020437971,0,0,0.0,0.0
1706020437985,0,0,0.0,0.0
1706020438000,0,0,0.0,0.0
1706020438017,0,0,0.0,0.0
1706020438035,0,0,0.0,0.0
1706020438050,0,0,0.0,0.0
1706020438069,0,0,0.0,0.0
1706020438083,0,0,0.0,0.0
1706020438101,0,0,0.0,0.0
1706020438119,0,0,0.0,0.0
1706020438133,0,0,0.0,0.0
1706020438148,0,0,0.0,0.0
1706020438166,0,0,0.0,0.0
1706020438180,0,0,0.0,0.0
1706020438198,0,0,0.0,0.0
1706020438216,0,0,0.0,0.0
1706020438231,0,0,0.0,0.0
1706020438246,0,0,0.0,0.0
1706020438267,0,0,0.0,0.0
1706020438276,0,0,0.0,0.0
1706020438297,0,0,0.0,0.0
1706020438311,0,0,0.0,0.0
1706020438329,0,0,0.0,0.0
1706020438344,0,0,0.0,0.0
1706020438360,0,0,0.0,0.0
1706020438375,0,0,0.0,0.0
1706020438393,0,0,0.0,0.0
1706020438408,0,0,0.0,0.0
1706020438426,0,0,0.0,0.0
1706020438438,0,0,0.0,0.0
1706020438459,0,0,0.0,0.0
1706020438474,0,0,0.0,0.0
1706020438492,0,0,0.0,0.0
1706020438504,0,0,0.0,0.0
1706020438525,0,0,0.0,0.0
1706020438537,0,0,0.0,0.0
1706020438555,0,0,0.0,0.0
1706020438573,0,0,0.0,0.0
1706020438588,0,0,0.0,0.0
1706020438603,0,0,0.0,0.0
1706020438621,0,0,0.0,0.0
1706020438636,0,0,0.0,0.0
1706020438654,0,0,0.0,0.0
1706020438669,0,0,0.0,0.0
1706020438687,0,0,0.0,0.0
1706020438702,0,0,0.0,0.0
1706020438723,0,0,0.0,0.0
1706020438732,0,0,0.0,0.0
1706020438750,0,0,0.0,0.0
1706020438765,0,0,0.0,0.0
1706020438783,0,0,0.0,0.0
1706020438798,0,0,0.0,0.0
1706020438816,0,0,0.0,0.0
1706020438831,0,0,0.0,0.0
1706020438846,0,0,0.0,0.0
1706020438867,0,0,0.0,0.0
1706020438885,0,0,0.0,0.0
1706020438894,0,0,0.0,0.0
1706020438911,0,0,0.0,0.0
1706020438926,0,0,0.0,0.0
1706020438947,0,0,0.0,0.0
1706020438961,0,0,0.0,0.0
1706020438979,0,0,0.0,0.0
1706020438991,0,0,0.0,0.0
1706020439012,0,0,0.0,0.0
1706020439024,0,0,0.0,0.0
1706020439042,0,0,0.0,0.0
1706020439056,0,0,0.0,0.0
1706020439077,0,0,0.0,0.0
1706020439089,0,0,0.0,0.0
1706020439107,0,0,0.0,0.0
1706020439122,0,0,0.0,0.0
1706020439140,0,0,0.0,0.0
1706020439161,3,0,4.39714,0.0
1706020439172,3,0,4.223595,0.0
1706020439187,3,0,4.156439,0.0
1706020439202,3,0,4.118796,0.0
1706020439217,3,0,4.10288,0.0
1706020439235,3,0,4.110002,0.0
1706020439249,3,0,4.132283,0.0
1706020439267,3,0,4.119981,0.0
1706020439282,3,0,4.114153,0.0
1706020439297,3,0,4.099165,0.0
1706020439321,3,3,4.088557,4.457449
1706020439333,3,3,4.099945,4.401396
1706020439347,3,3,4.10141,4.339193
1706020439365,3,3,4.090326,4.304649
1706020439382,3,3,4.116772,4.251392
1706020439399,3,3,4.100061,4.250981
1706020439414,3,3,4.068651,4.313989
1706020439429,3,3,4.080911,4.313578
1706020439446,3,3,4.044912,4.314549
1706020439464,3,3,4.029942,4.325433
1706020439478,3,3,4.030473,4.353646
1706020439496,3,3,4.018268,4.345919
1706020439511,3,3,4.032479,4.314519
1706020439526,3,3,4.024714,4.295924
1706020439546,3,3,4.007826,4.259384
1706020439558,3,3,4.013065,4.28814
1706020439576,3,3,4.047662,4.282775
1706020439594,3,3,4.018204,4.230731
1706020439608,3,3,4.034193,4.279911
1706020439625,3,3,4.035513,4.21302
1706020439640,3,3,4.046091,4.224341
1706020439655,3,3,4.038602,4.207691
1706020439673,3,3,4.041112,4.206925
1706020439691,3,3,4.049203,4.196139
1706020439706,3,3,4.031885,4.263073
1706020439723,3,3,4.058477,4.293035
1706020439738,3,3,4.060709,4.308853
1706020439756,3,3,4.063034,4.346599
1706020439771,3,3,4.069923,4.310929
