timestamp,event,block_id
1702304711620,start,nan
1702304717404,grasp,13
1702304718802,release,13
1702304720772,grasp,14
1702304722604,release,14
1702304724739,grasp,18
1702304726699,release,18
1702304728495,grasp,21
1702304730527,release,21
1702304732705,grasp,22
1702304734802,release,22
1702304736765,grasp,19
1702304738840,release,19
1702304741104,grasp,11
1702304743435,release,11
1702304745638,grasp,8
1702304747264,release,8
1702304749331,grasp,2
1702304751975,release,2
1702304754162,grasp,1
1702304755669,release,1
1702304756868,grasp,0
1702304758501,release,0
1702304760362,grasp,10
1702304762809,release,10
1702304763403,end,nan
