timestamp,event,block_id
1702282913345,start,nan
1702282918405,grasp,13
1702282920370,release,13
1702282922857,grasp,14
1702282924130,release,14
1702282925797,grasp,18
1702282927875,release,18
1702282931126,grasp,21
1702282933270,release,21
1702282934875,grasp,22
1702282936657,release,22
1702282938592,grasp,19
1702282940137,release,19
1702282942074,grasp,11
1702282944081,release,11
1702282946575,grasp,8
1702282948334,release,8
1702282950013,grasp,2
1702282952159,release,2
1702282954331,grasp,1
1702282955970,release,1
1702282957523,grasp,0
1702282959238,release,0
1702282961023,grasp,10
1702282964171,release,10
1702282965164,end,nan
