timestamp,event,block_id
1705936969978,start,nan
1705936975645,grasp,7
1705936977381,release,7
1705936980315,grasp,6
1705936981840,release,6
1705936985603,grasp,18
1705936987837,release,18
1705936990915,grasp,19
1705936992551,release,19
1705936995506,grasp,20
1705936996918,release,20
1705937000743,grasp,5
1705937003442,release,5
1705937006503,grasp,2
1705937008142,release,2
1705937009711,end,nan
