timestamp,event,block_id
1706272941174,start,nan
1706272949645,grasp,13
1706272952208,release,13
1706272953901,grasp,14
1706272957078,release,14
1706272959936,grasp,18
1706272962671,release,18
1706272965211,grasp,21
1706272967306,release,21
1706272969372,grasp,22
1706272972813,release,22
1706272974305,grasp,19
1706272976410,release,19
1706272979034,grasp,11
1706272983277,release,11
1706272986872,grasp,8
1706272989009,release,8
1706272991633,grasp,2
1706272994207,release,2
1706272996511,grasp,1
1706272998203,release,1
1706273000634,grasp,0
1706273002778,release,0
1706273004910,grasp,10
1706273007900,release,10
1706273008413,end,nan
