timestamp,event,block_id
1702377121715,start,nan
1702377130079,grasp,13
1702377132510,release,13
1702377135652,grasp,14
1702377136914,release,14
1702377140112,grasp,18
1702377142479,release,18
1702377145750,grasp,21
1702377147874,release,21
1702377151007,grasp,22
1702377153217,release,22
1702377156016,grasp,19
1702377157781,release,19
1702377160243,grasp,11
1702377163982,release,11
1702377167210,grasp,8
1702377169438,release,8
1702377172740,grasp,2
1702377175684,release,2
1702377178674,grasp,1
1702377180242,release,1
1702377183048,grasp,0
1702377184450,release,0
1702377186808,grasp,10
1702377189007,release,10
1702377190215,end,nan
