timestamp,event,block_id
1701779070238,start,nan
1701779076535,grasp,13
1701779079249,release,13
1701779081470,grasp,14
1701779083980,release,14
1701779086569,grasp,18
1701779089354,release,18
1701779092284,grasp,21
1701779094975,release,21
1701779097784,grasp,22
1701779100195,release,22
1701779102402,grasp,19
1701779104431,release,19
1701779107864,grasp,11
1701779110332,release,11
1701779112690,grasp,8
1701779114217,release,8
1701779115978,grasp,2
1701779118392,release,2
1701779120157,grasp,1
1701779121597,release,1
1701779123434,grasp,0
1701779124751,release,0
1701779126953,grasp,10
1701779128919,release,10
1701779129555,end,nan
