timestamp,event,block_id
1704800544316,start,nan
1704800552025,grasp,13
1704800554326,release,13
1704800557585,grasp,14
1704800559315,release,14
1704800563393,grasp,18
1704800565117,release,18
1704800568527,grasp,21
1704800571090,release,21
1704800574126,grasp,22
1704800577160,release,22
1704800580962,grasp,19
1704800582993,release,19
1704800586159,grasp,11
1704800589819,release,11
1704800593520,grasp,8
1704800594720,release,8
1704800598591,grasp,2
1704800601347,release,2
1704800604493,grasp,1
1704800606395,release,1
1704800609629,grasp,0
1704800611752,release,0
1704800615251,grasp,10
1704800618350,release,10
1704800620122,end,nan
