timestamp,event,block_id
1704979310845,start,nan
1704979316035,grasp,13
1704979317742,release,13
1704979319765,grasp,14
1704979321339,release,14
1704979323606,grasp,18
1704979325535,release,18
1704979327509,grasp,21
1704979329841,release,21
1704979332080,grasp,22
1704979334044,release,22
1704979336213,grasp,19
1704979337704,release,19
1704979339869,grasp,11
1704979342533,release,11
1704979344767,grasp,8
1704979346402,release,8
1704979348568,grasp,2
1704979350808,release,2
1704979352941,grasp,1
1704979354402,release,1
1704979356405,grasp,0
1704979358436,release,0
1704979360177,grasp,10
1704979362234,release,10
1704979363013,end,nan
