timestamp,x,y
1706517420619,nan,nan
1706517420655,nan,nan
1706517420691,nan,nan
1706517420726,nan,nan
1706517420763,nan,nan
1706517420800,nan,nan
1706517420840,nan,nan
1706517420877,nan,nan
1706517420914,nan,nan
1706517420953,nan,nan
1706517420996,nan,nan
1706517421068,nan,nan
1706517421107,nan,nan
1706517421144,nan,nan
1706517421182,nan,nan
1706517421221,nan,nan
1706517421259,nan,nan
1706517421296,nan,nan
1706517421333,nan,nan
1706517421371,nan,nan
1706517421409,nan,nan
1706517421445,nan,nan
1706517421483,nan,nan
1706517421522,nan,nan
1706517421567,nan,nan
1706517421605,nan,nan
1706517421644,nan,nan
1706517421684,nan,nan
1706517421721,nan,nan
1706517421759,nan,nan
1706517421795,nan,nan
1706517421832,nan,nan
1706517421871,nan,nan
1706517421906,nan,nan
1706517421941,nan,nan
1706517421977,nan,nan
1706517422010,nan,nan
1706517422045,nan,nan
1706517422136,nan,nan
1706517422175,0.32163281179964537,0.9962229263037445
1706517422215,0.14507945502797764,0.1456279158592224
1706517422258,0.14691598216692608,0.6019307076931
1706517422298,0.25196970502535504,0.8598201870918274
1706517422336,0.20187532653411233,0.46769094467163086
1706517422378,0.1920010671019554,0.4875699281692505
1706517422421,0.26817327737808233,0.4581441879272461
1706517422463,0.2587317923704784,0.4616290330886841
1706517422507,0.2609480445583662,0.4449257254600525
1706517422550,0.24073358128468197,0.43466538190841675
1706517422594,0.24921941260496777,0.39763075113296503
1706517422654,0.2526611462235451,0.37836617231369024
1706517422694,0.23753558099269872,0.44430166482925415
1706517422735,0.2253978699445725,0.33873170614242554
1706517422775,0.3664523226519426,0.2813577651977539
1706517422816,0.5351511935393016,0.08906775712966919
1706517422856,0.20890214790900546,0.8600653260946274
1706517422895,0.25519014894962316,0.5799744725227357
1706517422941,nan,nan
1706517422984,nan,nan
1706517423029,nan,nan
1706517423072,nan,nan
1706517423108,nan,nan
1706517423141,nan,nan
1706517423171,nan,nan
1706517423203,nan,nan
1706517423235,nan,nan
1706517423271,nan,nan
1706517423305,nan,nan
1706517423339,nan,nan
1706517423374,nan,nan
1706517423412,nan,nan
1706517423452,nan,nan
1706517423490,nan,nan
1706517423529,nan,nan
1706517423573,nan,nan
1706517423616,nan,nan
1706517423662,nan,nan
1706517423706,nan,nan
1706517423749,nan,nan
1706517423794,nan,nan
1706517423839,nan,nan
1706517423886,nan,nan
1706517423932,nan,nan
1706517423981,nan,nan
1706517424028,nan,nan
1706517424076,nan,nan
1706517424123,nan,nan
1706517424171,nan,nan
1706517424218,nan,nan
1706517424255,nan,nan
1706517424293,nan,nan
1706517424335,nan,nan
1706517424380,nan,nan
1706517424428,nan,nan
1706517424476,nan,nan
1706517424526,nan,nan
1706517424576,nan,nan
1706517424623,nan,nan
1706517424664,nan,nan
1706517424708,nan,nan
1706517424751,nan,nan
1706517424794,nan,nan
1706517424836,nan,nan
1706517424878,nan,nan
1706517424918,nan,nan
1706517424958,nan,nan
1706517424997,nan,nan
1706517425030,nan,nan
1706517425066,nan,nan
1706517425101,0.03171746370693046,0.8316217809915544
1706517425191,nan,nan
1706517425229,nan,nan
1706517425266,nan,nan
1706517425304,nan,nan
1706517425340,nan,nan
1706517425376,nan,nan
1706517425412,nan,nan
1706517425447,nan,nan
1706517425482,nan,nan
1706517425518,nan,nan
1706517425555,nan,nan
1706517425592,nan,nan
1706517425625,nan,nan
1706517425673,nan,nan
1706517425712,nan,nan
1706517425743,nan,nan
1706517425774,nan,nan
1706517425806,nan,nan
1706517425838,nan,nan
1706517425873,nan,nan
1706517425910,nan,nan
1706517425951,nan,nan
1706517425996,nan,nan
1706517426044,nan,nan
1706517426089,nan,nan
1706517426134,0.0031938331279282735,0.21244245767593384
1706517426181,0.03656248934566973,0.22149980068206787
1706517426228,0.0234037342791756,0.21676212549209595
1706517426276,0.013522552481542011,0.20435857772827148
1706517426324,0.005757676127056262,0.1869831681251526
1706517426372,0.003709894333345171,0.18921828269958496
1706517426418,0.006615267678474379,0.1852617859840393
1706517426463,0.04694342985749243,0.2036663293838501
1706517426508,0.038928684468070664,0.1580832600593567
1706517426554,0.04911967118581137,0.16180366277694702
1706517426598,0.10740837454795837,0.32957458496093744
1706517426641,0.13361381863554314,0.3289462327957154
1706517426684,0.135518545905749,0.33334052562713623
1706517426728,0.13174975415070853,0.29657554626464844
1706517426772,0.14340338855981827,0.2385844588279724
1706517426814,0.14110866189002988,0.2747584581375122
1706517426859,0.14977680643399557,0.2705579400062561
1706517426901,0.1463711112737656,0.29943448305130005
1706517426943,0.21042261272668836,0.5750238299369813
1706517426985,0.20493932565053305,0.7170183360576631
1706517427025,0.20353078345457717,0.5967300236225128
1706517427064,0.234645463526249,0.8302239626646042
1706517427104,0.2230068668723107,0.5609770119190216
1706517427145,0.23435190568367642,0.5643731653690338
1706517427186,0.24716063092152274,0.5999963581562042
1706517427227,0.3361363261938095,0.3822382688522339
1706517427267,0.48709749430418015,0.3806985020637512
1706517427311,0.25803219775358843,0.6377531588077545
1706517427355,0.2644281983375549,0.6303659975528717
1706517427396,0.27115629861752194,0.6923823952674866
1706517427437,0.49096463123957323,0.38734161853790283
1706517427478,0.2938212362350896,0.46175289154052734
1706517427521,0.2948182094842196,0.4633089303970337
1706517427564,0.2944375263371815,0.47317641973495483
1706517427607,0.2911068623264631,0.47627508640289307
1706517427649,0.15404380857944489,0.28964561223983765
1706517427692,0.19525170822938284,0.5386505722999573
1706517427735,0.16630175213019055,0.5285430252552032
1706517427777,0.15576830009619394,0.5288815796375275
1706517427816,0.12940905367334682,0.5185667276382446
1706517427855,0.1062634450693925,0.5463738441467285
1706517427892,0.07726175213853519,0.5577503740787506
1706517427928,nan,nan
1706517427963,nan,nan
1706517427995,nan,nan
1706517428027,nan,nan
1706517428063,nan,nan
1706517428095,nan,nan
1706517428131,nan,nan
1706517428165,nan,nan
1706517428201,nan,nan
1706517428241,nan,nan
1706517428278,nan,nan
1706517428316,nan,nan
1706517428353,nan,nan
1706517428393,nan,nan
1706517428430,nan,nan
1706517428470,nan,nan
1706517428510,nan,nan
1706517428555,nan,nan
1706517428601,nan,nan
1706517428642,nan,nan
1706517428680,nan,nan
1706517428720,nan,nan
1706517428761,nan,nan
1706517428802,nan,nan
1706517428842,nan,nan
1706517428884,nan,nan
1706517428926,nan,nan
1706517428965,nan,nan
1706517429004,nan,nan
1706517429042,nan,nan
1706517429080,nan,nan
1706517429123,nan,nan
1706517429165,nan,nan
1706517429210,nan,nan
1706517429254,nan,nan
1706517429301,nan,nan
1706517429347,nan,nan
1706517429392,nan,nan
1706517429432,nan,nan
1706517429476,nan,nan
1706517429517,nan,nan
1706517429559,nan,nan
1706517429601,0.003093650060084937,0.5596172511577606
1706517429646,0.03954760978619258,0.5357808768749237
1706517429691,0.05706774629652498,0.5232396423816681
1706517429734,0.07354370628794035,0.5162838399410248
1706517429779,0.1016381358106931,0.5098124444484711
1706517429821,0.11700123672684032,0.505396693944931
1706517429866,0.12692013134558994,0.505526065826416
1706517429910,0.14261639242370922,0.5054740309715271
1706517429954,0.14849774539470673,0.5042824149131775
1706517429998,0.03850020840764044,0.16940975189208984
1706517430044,0.04070900691052277,0.19923317432403562
1706517430092,nan,nan
1706517430137,nan,nan
1706517430184,nan,nan
1706517430229,nan,nan
1706517430276,nan,nan
1706517430322,nan,nan
1706517430366,nan,nan
1706517430411,nan,nan
1706517430454,nan,nan
1706517430500,nan,nan
1706517430547,nan,nan
1706517430591,nan,nan
1706517430637,nan,nan
1706517430680,nan,nan
1706517430724,nan,nan
1706517430767,nan,nan
1706517430810,nan,nan
1706517430855,nan,nan
1706517430901,nan,nan
1706517430948,nan,nan
1706517430995,nan,nan
1706517431040,0.05828132790823776,0.01942974328994762
1706517431085,0.13577058911323547,0.30228942632675165
1706517431129,0.1726018066207568,0.46694594621658325
1706517431173,0.2312423239151637,0.40233045816421503
1706517431216,0.163691649834315,0.46091943979263306
1706517431258,0.26668024559815734,0.5851020216941833
1706517431299,0.233338013291359,0.7895927727222442
1706517431339,0.23560144752264028,0.7956995964050294
1706517431380,0.2728387713432312,0.5210065543651581
1706517431422,0.25399569918711984,0.5846294164657593
1706517431465,0.23886816948652273,0.8224209398031234
1706517431508,0.20866475999355316,0.3877139687538147
1706517431550,0.20075547446807226,0.3916676640510559
1706517431594,0.20722409089406332,0.392704963684082
1706517431638,0.16620839635531112,0.5262641012668611
1706517431680,0.1622528235117595,0.5526967644691467
1706517431720,0.10256576538085936,0.7113694250583649
1706517431759,0.10792240500450132,0.7067561149597168
1706517431796,0.08036523188153903,0.7249219417572021
1706517431832,0.05164805240929125,0.7493127882480621
1706517431864,nan,nan
1706517431894,nan,nan
1706517431921,nan,nan
1706517431951,nan,nan
1706517431983,nan,nan
1706517432015,nan,nan
1706517432051,nan,nan
1706517432085,nan,nan
1706517432119,nan,nan
1706517432155,nan,nan
1706517432191,nan,nan
1706517432228,nan,nan
1706517432264,nan,nan
1706517432304,nan,nan
1706517432343,nan,nan
1706517432384,nan,nan
1706517432424,nan,nan
1706517432464,nan,nan
1706517432505,nan,nan
1706517432546,nan,nan
1706517432587,nan,nan
1706517432627,nan,nan
1706517432666,nan,nan
1706517432705,nan,nan
1706517432743,nan,nan
1706517432782,nan,nan
1706517432821,nan,nan
1706517432863,nan,nan
1706517432903,nan,nan
1706517432944,nan,nan
1706517432984,nan,nan
1706517433024,nan,nan
1706517433064,nan,nan
1706517433104,nan,nan
1706517433141,nan,nan
1706517433179,nan,nan
1706517433216,nan,nan
1706517433254,nan,nan
1706517433292,nan,nan
1706517433331,nan,nan
1706517433370,nan,nan
1706517433410,nan,nan
1706517433450,nan,nan
1706517433489,nan,nan
1706517433528,nan,nan
1706517433570,nan,nan
1706517433608,nan,nan
1706517433647,nan,nan
1706517433684,nan,nan
1706517433723,nan,nan
1706517433761,nan,nan
1706517433799,nan,nan
1706517433837,nan,nan
1706517433875,nan,nan
1706517433913,nan,nan
1706517433952,nan,nan
1706517433991,nan,nan
1706517434028,nan,nan
1706517434068,nan,nan
1706517434108,nan,nan
1706517434143,nan,nan
1706517434178,nan,nan
1706517434213,nan,nan
1706517434248,nan,nan
1706517434284,nan,nan
1706517434322,nan,nan
1706517434358,nan,nan
1706517434395,nan,nan
1706517434436,nan,nan
1706517434480,nan,nan
1706517434523,nan,nan
1706517434567,0.01111921062692997,0.38164228200912476
1706517434612,0.03257689749201137,0.44963908195495605
1706517434658,0.02110049997766813,0.3727839589118958
1706517434705,0.050039621070027344,0.45320308208465576
1706517434750,0.051256101578474045,0.45620977878570557
1706517434795,nan,nan
1706517434839,0.06379686792691547,0.46773087978363037
1706517434887,0.017144945605347555,0.2860295772552491
1706517434933,0.0743589090804259,0.4734097719192505
1706517434980,0.0794995091855526,0.46904391050338745
1706517435025,0.08848593259851138,0.4606519937515259
1706517435068,0.11888272066911063,0.3722708821296692
1706517435114,0.09253334005673727,0.45231062173843384
1706517435157,0.2014792338013649,0.28544116020202637
1706517435199,0.29063226034243905,0.2082241177558899
1706517435242,0.3777266467610995,0.2639294862747193
1706517435286,0.5530214359362922,0.1942805051803589
1706517435331,0.5511759519577026,0.18837296962738037
1706517435376,0.5524916499853134,0.18221235275268555
1706517435420,0.5542746235926946,0.18209213018417358
1706517435462,0.553686797618866,0.18376654386520386
1706517435503,0.5516700992981594,0.18532395362854004
1706517435546,0.5503227363030117,0.19073396921157837
1706517435589,0.551050807038943,0.19247561693191528
1706517435633,0.09858691443999609,0.5076678097248076
1706517435674,0.09987729291121164,0.5244951844215393
1706517435717,0.47853538642327,0.24142563343048096
1706517435759,0.4533406893412273,0.25387370586395264
1706517435802,0.4823897580305736,0.2343016266822815
1706517435845,0.48134390761454904,0.24158138036727905
1706517435888,0.47886846462885535,0.24385970830917358
1706517435931,0.18522189060846966,0.7940904349088669
1706517435972,0.1826478789250056,0.78353488445282
1706517436016,0.18162032216787335,0.77932108938694
1706517436059,0.4976934492588043,0.17508411407470703
1706517436102,0.5306921452283859,0.1284846067428589
1706517436143,0.5382848580678304,0.10891443490982056
1706517436185,0.533140704035759,0.10092121362686159
1706517436227,0.18539627641439438,0.7608038932085038
