timestamp,event,block_id
1706192673186,start,nan
1706192677359,grasp,13
1706192678990,release,13
1706192680397,grasp,14
1706192681954,release,14
1706192683252,grasp,18
1706192685621,release,18
1706192686794,grasp,21
1706192689329,release,21
1706192690588,grasp,22
1706192693528,release,22
1706192695231,grasp,19
1706192697584,release,19
1706192699163,grasp,11
1706192701763,release,11
1706192703027,grasp,8
1706192704592,release,8
1706192706364,grasp,2
1706192708723,release,2
1706192710425,grasp,1
1706192711695,release,1
1706192712857,grasp,0
1706192715483,release,0
1706192716997,grasp,10
1706192719854,release,10
1706192720226,end,nan
