timestamp,event,block_id
1704983832586,start,nan
1704983843456,grasp,4
1704983847013,release,4
1704983851351,grasp,3
1704983854344,release,3
1704983858046,grasp,2
1704983860019,release,2
1704983863755,grasp,1
1704983866278,release,1
1704983869751,grasp,8
1704983872812,release,8
1704983879607,grasp,7
1704983883151,release,7
1704983884578,end,nan
