timestamp,event,block_id
1701160114391,start,nan
1701160120169,grasp,13
1701160122785,release,13
1701160123784,grasp,14
1701160126406,release,14
1701160127373,grasp,18
1701160129621,release,18
1701160131966,grasp,21
1701160134471,release,21
1701160135891,grasp,22
1701160138452,release,22
1701160140119,grasp,19
1701160142293,release,19
1701160143884,grasp,11
1701160147543,release,11
1701160149235,grasp,8
1701160151218,release,8
1701160154578,grasp,2
1701160156165,release,2
1701160158081,grasp,1
1701160160104,release,1
1701160161459,grasp,0
1701160163448,release,0
1701160165950,grasp,10
1701160168385,release,10
1701160168827,end,nan
