timestamp,confidence_right,confidence_left,diameter_right,diameter_left
1702368485666,0,0,0.0,0.0
1702368485681,0,0,0.0,0.0
1702368485699,0,0,0.0,0.0
1702368485714,0,0,0.0,0.0
1702368485731,3,0,6.48109,0.0
1702368485746,0,0,0.0,0.0
1702368485764,0,0,0.0,0.0
1702368485779,0,0,0.0,0.0
1702368485797,0,0,0.0,0.0
1702368485812,0,0,0.0,0.0
1702368485827,0,0,0.0,0.0
1702368485842,0,0,0.0,0.0
1702368485862,0,0,0.0,0.0
1702368485877,0,0,0.0,0.0
1702368485892,0,0,0.0,0.0
1702368485910,0,0,0.0,0.0
1702368485925,0,0,0.0,0.0
1702368485943,0,0,0.0,0.0
1702368485958,0,0,0.0,0.0
1702368485973,0,0,0.0,0.0
1702368485990,0,0,0.0,0.0
1702368486008,0,0,0.0,0.0
1702368486023,0,0,0.0,0.0
1702368486041,0,0,0.0,0.0
1702368486056,3,0,7.072462,0.0
1702368486071,0,0,0.0,0.0
1702368486089,0,0,0.0,0.0
1702368486103,0,0,0.0,0.0
1702368486118,0,0,0.0,0.0
1702368486136,0,0,0.0,0.0
1702368486153,0,0,0.0,0.0
1702368486168,0,0,0.0,0.0
1702368486186,0,0,0.0,0.0
1702368486203,0,0,0.0,0.0
1702368486217,0,0,0.0,0.0
1702368486235,3,0,7.094391,0.0
1702368486249,0,0,0.0,0.0
1702368486276,0,0,0.0,0.0
1702368486282,0,0,0.0,0.0
1702368486297,0,0,0.0,0.0
1702368486314,0,0,0.0,0.0
1702368486332,0,0,0.0,0.0
1702368486347,0,0,0.0,0.0
1702368486362,0,0,0.0,0.0
1702368486380,0,0,0.0,0.0
1702368486398,0,0,0.0,0.0
1702368486412,0,0,0.0,0.0
1702368486429,0,0,0.0,0.0
1702368486446,0,0,0.0,0.0
1702368486461,0,0,0.0,0.0
1702368486478,0,0,0.0,0.0
1702368486493,0,0,0.0,0.0
1702368486510,0,0,0.0,0.0
1702368486528,0,0,0.0,0.0
1702368486543,0,0,0.0,0.0
1702368486564,0,0,0.0,0.0
1702368486573,3,0,5.28852,0.0
1702368486590,0,0,0.0,0.0
1702368486605,0,0,0.0,0.0
1702368486623,0,0,0.0,0.0
1702368486638,0,0,0.0,0.0
1702368486658,0,0,0.0,0.0
1702368486673,0,0,0.0,0.0
1702368486688,0,0,0.0,0.0
1702368486709,0,0,0.0,0.0
1702368486721,0,0,0.0,0.0
1702368486739,0,0,0.0,0.0
1702368486754,0,0,0.0,0.0
1702368486769,0,0,0.0,0.0
1702368486786,0,0,0.0,0.0
1702368486804,0,0,0.0,0.0
1702368486819,0,0,0.0,0.0
1702368486834,0,0,0.0,0.0
1702368486848,0,0,0.0,0.0
1702368486865,0,0,0.0,0.0
1702368486880,0,0,0.0,0.0
1702368486901,0,0,0.0,0.0
1702368486913,0,0,0.0,0.0
1702368486931,0,0,0.0,0.0
1702368486945,0,0,0.0,0.0
1702368486963,0,0,0.0,0.0
1702368486978,0,0,0.0,0.0
1702368486996,0,0,0.0,0.0
1702368487011,0,0,0.0,0.0
1702368487029,0,0,0.0,0.0
1702368487044,0,0,0.0,0.0
1702368487061,0,0,0.0,0.0
1702368487076,0,0,0.0,0.0
1702368487093,0,0,0.0,0.0
1702368487108,0,0,0.0,0.0
1702368487126,0,0,0.0,0.0
1702368487141,0,0,0.0,0.0
1702368487158,0,0,0.0,0.0
1702368487173,0,0,0.0,0.0
1702368487191,0,0,0.0,0.0
1702368487206,0,0,0.0,0.0
1702368487226,0,0,0.0,0.0
1702368487238,0,0,0.0,0.0
1702368487253,0,0,0.0,0.0
1702368487274,0,0,0.0,0.0
1702368487289,0,0,0.0,0.0
