timestamp,event,block_id
1706707553501,start,nan
1706707558869,grasp,13
1706707561106,release,13
1706707564209,grasp,14
1706707566668,release,14
1706707569772,grasp,18
1706707572262,release,18
1706707575742,grasp,21
1706707577935,release,21
1706707581275,grasp,22
1706707583695,release,22
1706707587365,grasp,19
1706707589706,release,19
1706707593936,grasp,11
1706707597468,release,11
1706707601539,grasp,8
1706707603700,release,8
1706707607039,grasp,2
1706707610242,release,2
1706707612961,grasp,1
1706707615364,release,1
1706707618098,grasp,0
1706707620895,release,0
1706707623142,grasp,10
1706707626908,release,10
1706707627668,end,nan
