timestamp,event,block_id
1705416461108,start,nan
1705416465171,grasp,13
1705416466662,release,13
1705416469321,grasp,14
1705416470676,release,14
1705416473767,grasp,18
1705416475812,release,18
1705416478539,grasp,21
1705416481157,release,21
1705416483979,grasp,22
1705416486612,release,22
1705416489211,grasp,19
1705416491217,release,19
1705416494646,grasp,11
1705416498600,release,11
1705416501568,grasp,8
1705416503200,release,8
1705416506384,grasp,2
1705416509650,release,2
1705416512866,grasp,1
1705416514866,release,1
1705416517446,grasp,0
1705416519265,release,0
1705416521985,grasp,10
1705416524928,release,10
1705416526273,end,nan
