timestamp,event,block_id
1706517593856,start,nan
1706517597746,grasp,13
1706517599227,release,13
1706517601678,grasp,14
1706517602878,release,14
1706517605890,grasp,18
1706517607914,release,18
1706517611821,grasp,21
1706517613622,release,21
1706517616747,grasp,22
1706517618231,release,22
1706517621334,grasp,19
1706517622745,release,19
1706517625989,grasp,11
1706517631825,release,11
1706517633307,grasp,8
1706517637049,release,8
1706517639676,grasp,2
1706517641919,release,2
1706517645095,grasp,1
1706517646673,release,1
1706517651020,grasp,0
1706517652475,release,0
1706517655320,grasp,10
1706517657860,release,10
1706517660072,end,nan
