timestamp,event,block_id
1705397905193,start,nan
1705397914331,grasp,13
1705397917210,release,13
1705397919710,grasp,14
1705397923415,release,14
1705397924438,grasp,18
1705397927239,release,18
1705397931983,grasp,21
1705397936521,release,21
1705397939396,grasp,22
1705397943228,release,22
1705397944890,grasp,19
1705397949789,release,19
1705397951890,grasp,11
1705397960029,release,11
1705397961490,grasp,8
1705397964381,release,8
1705397965478,grasp,2
1705397970689,release,2
1705397971959,grasp,1
1705397976239,release,1
1705397977546,grasp,0
1705397981343,release,0
1705397983874,grasp,10
1705397987460,release,10
1705397987661,end,nan
